,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9875289233500282,0.012471076649971768,0.8496048217433332,0.9402510776201114,0.7748995202904188,"[[807899   1899]
 [  8681  29884]]"
ExtraTrees,0.999962280297467,3.77197025329959e-05,0.9995850514795508,0.9997406168132181,0.999429534552055,"[[809788     10]
 [    22  38543]]"
LDA,0.9733109529764971,0.026689047023502912,0.6725289982933673,0.7603754455963633,0.602878257487359,"[[802471   7327]
 [ 15315  23250]]"
QDA,0.9939577751504958,0.006042224849504281,0.9375426454820158,0.8842944813478291,0.9976144172176844,"[[804764   5034]
 [    92  38473]]"
DecisionTree,0.9999752464452127,2.4753554787278558e-05,0.9997277288698155,0.9997406907997096,0.9997147672760275,"[[809788     10]
 [    11  38554]]"
RandomForest,0.9999587440753546,4.1255924645464264e-05,0.9995460970833496,0.9998183893731839,0.9992739530662518,"[[809791      7]
 [    28  38537]]"
GradientBoosting,0.9999009857808508,9.901421914911423e-05,0.9989102514205651,0.9995326738842589,0.9982886036561649,"[[809780     18]
 [    66  38499]]"
GaussianNB,0.3563085613116084,0.6436914386883916,0.1236744807045472,0.06591662147806913,0.9991961623233502,"[[263745 546053]
 [    31  38534]]"
Perceptron,0.9708874620887521,0.029112537911247897,0.7142295142665402,0.6448674285953072,0.8003111629716064,"[[792801  16997]
 [  7701  30864]]"
AdaBoost,0.999924560594934,7.54394050659918e-05,0.9991701675224315,0.9992479058066859,0.9990924413328147,"[[809769     29]
 [    35  38530]]"
